sessionId,label,timestamp,accX,accY,accZ,rotX,rotY,rotZ
session_20260414_152212_047,uppercut,23437.0151,-1.201467,-0.274070,-0.149438,0.234533,-0.012838,-0.934605
session_20260414_152212_047,uppercut,23437.0350,-0.804959,0.085776,-0.077841,0.196760,-0.002685,-0.904648
session_20260414_152212_047,uppercut,23437.0549,-0.489086,0.215637,-0.084677,0.233243,0.048268,-0.744964
session_20260414_152212_047,uppercut,23437.0748,-0.131055,0.273283,-0.047957,0.371920,-0.012742,-0.491944
session_20260414_152212_047,uppercut,23437.0947,0.020138,0.255292,-0.083676,0.557219,-0.033517,-0.376987
session_20260414_152212_047,uppercut,23437.1146,0.019819,0.190114,-0.096087,0.473428,-0.026601,-0.268751
session_20260414_152212_047,uppercut,23437.1344,0.132499,0.174183,-0.086649,0.524932,-0.096788,-0.227275
session_20260414_152212_047,uppercut,23437.1543,0.140938,0.164839,-0.069642,0.692980,-0.139261,-0.226909
session_20260414_152212_047,uppercut,23437.1742,0.027257,0.169373,-0.062570,0.841515,-0.147196,-0.222313
session_20260414_152212_047,uppercut,23437.1941,-0.069654,0.154781,-0.014984,0.976633,-0.177618,-0.277330
session_20260414_152212_047,uppercut,23437.2140,-0.213050,0.123853,0.051970,0.986424,-0.164991,-0.378277
session_20260414_152212_047,uppercut,23437.2339,-0.336658,0.118139,0.065615,1.106423,-0.123875,-0.441683
session_20260414_152212_047,uppercut,23437.2538,-0.389056,0.186137,0.082834,1.525439,-0.070730,-0.489829
session_20260414_152212_047,uppercut,23437.2737,-0.489870,0.220264,0.122455,2.070623,-0.040697,-0.590828
session_20260414_152212_047,uppercut,23437.2936,-0.593353,0.202840,0.182913,2.426736,-0.054380,-0.776943
session_20260414_152212_047,uppercut,23437.3135,-0.645725,0.099267,0.261297,2.375445,-0.127663,-0.984417
session_20260414_152212_047,uppercut,23437.3334,-0.629990,0.066851,0.287872,2.035674,-0.157458,-1.105099
session_20260414_152212_047,uppercut,23437.3533,-0.563584,0.131272,0.286752,1.888403,-0.140529,-1.213179
session_20260414_152212_047,uppercut,23437.3732,-0.493625,0.188852,0.277390,2.165290,-0.072311,-1.457458
session_20260414_152212_047,uppercut,23437.3931,-0.416893,0.254463,0.262164,2.641093,0.054431,-1.732542
session_20260414_152212_047,uppercut,23437.4129,-0.258236,0.197802,0.182589,2.906447,0.174937,-1.966570
session_20260414_152212_047,uppercut,23437.4328,-0.054303,0.116477,0.198535,2.655896,0.103237,-2.213853
session_20260414_152212_047,uppercut,23437.4527,0.087527,0.021678,0.224415,2.020932,-0.051969,-2.512108
session_20260414_152212_047,uppercut,23437.4726,0.115902,0.072247,0.027085,1.705217,0.150327,-2.662535
session_20260414_152212_047,uppercut,23437.4925,0.219219,0.158575,-0.098922,1.618794,0.411648,-2.604614
session_20260414_152212_047,uppercut,23437.5124,0.509618,0.205084,0.115513,1.070412,0.208792,-2.420848
session_20260414_152212_047,uppercut,23437.5323,0.689101,0.101651,0.091625,0.400072,0.016025,-2.329004
session_20260414_152212_047,uppercut,23437.5522,0.642647,0.204028,-0.232301,0.383414,0.258949,-1.884618
session_20260414_152212_047,uppercut,23437.5721,0.675498,0.312107,-0.263701,0.806853,0.319722,-1.311826
session_20260414_152212_047,uppercut,23437.5920,0.819898,0.250216,-0.110444,0.951584,0.101026,-0.763819
session_20260414_152212_047,uppercut,23437.6119,0.811577,0.123024,-0.103250,0.884347,0.083328,-0.311147
session_20260414_152212_047,uppercut,23437.6318,0.665742,0.132970,-0.147817,0.982107,0.195973,0.154764
session_20260414_152212_047,uppercut,23437.6517,0.545593,0.185370,-0.042296,1.301896,0.152744,0.653284
session_20260414_152212_047,uppercut,23437.6716,0.396326,0.098644,0.064502,1.260996,0.240759,0.914577
session_20260414_152212_047,uppercut,23437.6914,0.255493,-0.057630,0.142440,0.912675,0.257400,1.054039
session_20260414_152212_047,uppercut,23437.7113,0.146382,-0.128073,0.157126,0.663388,0.269080,1.101588
session_20260414_152212_047,uppercut,23437.7312,0.024090,-0.152070,0.161541,0.557127,0.289419,1.025742
session_20260414_152212_047,uppercut,23437.7511,-0.051761,-0.172085,0.186184,0.533710,0.266728,0.888288
session_20260414_152212_047,uppercut,23437.7710,-0.098319,-0.209167,0.220679,0.426094,0.215936,0.707714
session_20260414_152212_047,uppercut,23437.7909,-0.122248,-0.260321,0.232100,0.253496,0.154851,0.450750
session_20260414_152212_047,uppercut,23437.8108,-0.132469,-0.261128,0.171464,0.103300,0.144653,0.207704
session_20260414_152212_047,uppercut,23437.8307,-0.135556,-0.178191,0.108827,0.127732,0.143393,0.031482
session_20260414_152212_047,uppercut,23437.8506,-0.093866,-0.134201,0.086521,0.127414,0.117527,-0.075148
session_20260414_152212_047,uppercut,23437.8705,-0.033597,-0.107291,0.079987,-0.022197,0.061124,-0.151635
session_20260414_152212_047,uppercut,23437.8904,-0.010400,0.013862,0.005788,-0.088143,0.078520,-0.132617
session_20260414_152212_047,uppercut,23437.9103,0.004183,0.113183,-0.054286,-0.122883,0.094645,-0.059321
session_20260414_152212_047,uppercut,23437.9302,0.063717,0.107645,-0.044672,-0.183078,0.075030,0.033523
session_20260414_152212_047,uppercut,23437.9500,0.114976,0.082088,-0.042943,-0.169789,0.026749,0.098950
session_20260414_152212_047,uppercut,23437.9699,0.113695,0.061150,-0.054100,-0.025821,-0.020588,0.138754
session_20260414_152212_047,uppercut,23437.9898,0.096321,0.051400,-0.031979,0.064357,-0.055895,0.181801
session_20260414_152212_047,uppercut,23438.0097,0.073866,-0.002709,0.001785,0.074103,-0.089366,0.180929
session_20260414_152212_047,uppercut,23438.0296,0.050453,-0.019074,0.028073,0.129276,-0.100605,0.148779
session_20260414_152212_047,uppercut,23438.0495,0.012800,0.002582,0.042666,0.172322,-0.104703,0.156570
session_20260414_152212_047,uppercut,23438.0694,-0.014924,0.008039,0.066998,0.169755,-0.092776,0.136699
session_20260414_152212_047,uppercut,23438.0893,-0.028171,0.007582,0.079961,0.064359,-0.058739,0.129007
session_20260414_152212_047,uppercut,23438.1092,-0.035627,0.014032,0.079308,-0.051634,-0.031302,0.092407
session_20260414_152212_047,uppercut,23438.1291,-0.040160,0.002537,0.084059,-0.097999,-0.027641,0.062461
session_20260414_152212_047,uppercut,23438.1490,-0.060858,0.048018,0.047506,-0.067256,0.005247,0.074281
session_20260414_152212_047,uppercut,23438.1689,-0.055761,0.051069,0.033958,-0.014452,0.005624,0.045195
session_20260414_152212_047,uppercut,23438.1888,-0.034183,0.024224,0.041611,-0.077021,-0.022941,0.028466
session_20260414_152212_047,uppercut,23438.2086,-0.033974,0.017833,0.024970,-0.165165,-0.042542,-0.004645
session_20260414_152212_047,uppercut,23438.2285,-0.019855,0.025732,0.008472,-0.155775,-0.065091,-0.033739
session_20260414_152212_047,uppercut,23438.2484,-0.010189,0.008905,0.001388,-0.117592,-0.082820,-0.053926
session_20260414_152212_047,uppercut,23438.2683,-0.012545,0.027174,-0.015734,-0.063994,-0.098011,-0.050274
session_20260414_152212_047,uppercut,23438.2882,-0.016791,0.047148,-0.022287,-0.010501,-0.098467,-0.044108
session_20260414_152212_047,uppercut,23438.3081,-0.006440,0.026163,-0.010726,0.023827,-0.089983,-0.035070
session_20260414_152212_047,uppercut,23438.3280,0.000395,0.032146,0.003630,0.005712,-0.071133,-0.015374
session_20260414_152212_047,uppercut,23438.3479,0.001030,0.027481,0.011351,-0.011618,-0.047670,-0.014401
session_20260414_152212_047,uppercut,23438.3678,0.004887,0.039297,0.025698,-0.024817,-0.039709,0.005919
session_20260414_152212_047,uppercut,23438.3877,-0.007139,0.047926,0.026651,-0.011389,-0.021838,0.034082
session_20260414_152212_047,uppercut,23438.4076,-0.014705,0.055399,0.024514,-0.001370,-0.005911,0.059358
session_20260414_152212_047,uppercut,23438.4275,-0.009918,0.041223,0.040259,-0.032278,-0.006860,0.059306
session_20260414_152212_047,uppercut,23438.4474,-0.010794,0.027958,0.035790,-0.067377,-0.004453,0.048810
